date,cpi,permits,home_sales,price_index
2018-04-01,316.96,1365.0,,
2022-06-01,368.249,1701.0,,
1999-08-01,178.0,1671.0,,
2008-08-01,244.475,858.0,,
2015-01-01,281.223,1049.0,,
2021-04-01,346.371,1714.0,,
1986-11-01,120.4,1644.0,,
2014-06-01,275.819,1010.0,,
2024-01-01,411.46,1489.0,4000000.0,4000000.0
1984-08-01,106.1,1530.0,,
2007-03-01,232.349,1596.0,,
1983-01-01,98.0,1426.0,,
1996-01-01,159.9,1387.0,,
2006-05-01,223.7,1905.0,,
2014-02-01,272.461,1039.0,,
1998-10-01,173.9,1719.0,,
1998-08-01,172.9,1654.0,,
2000-05-01,182.8,1543.0,,
2007-04-01,232.96,1470.0,,
2016-10-01,300.215,1254.0,,
2021-05-01,347.297,1680.0,,
1990-06-01,138.2,1108.0,,
1991-05-01,143.0,991.0,,
2003-04-01,204.5,1803.0,,
2016-06-01,296.306,1208.0,,
2017-12-01,313.462,1312.0,,
1990-03-01,136.7,1246.0,,
2019-08-01,332.781,1528.0,,
1981-04-01,86.5,1190.0,,
1997-02-01,164.7,1445.0,,
2004-07-01,211.4,2112.0,,
2015-11-01,289.953,1244.0,,
2011-10-01,255.651,671.0,,
2017-05-01,306.72,1205.0,,
1991-04-01,142.6,916.0,,
2011-08-01,254.295,647.0,,
2014-01-01,271.918,976.0,,
2014-12-01,280.383,1072.0,,
2017-04-01,305.692,1239.0,,
1987-01-01,121.2,1690.0,,
2013-06-01,267.451,942.0,,
1991-03-01,142.1,911.0,,
1993-09-01,151.0,1251.0,,
2000-02-01,181.3,1692.0,,
1990-11-01,140.5,941.0,,
1986-07-01,118.9,1780.0,,
2004-10-01,212.8,2097.0,,
2012-11-01,263.137,917.0,,
2020-06-01,341.554,1329.0,,
2019-06-01,330.919,1301.0,,
1986-10-01,120.0,1675.0,,
1991-10-01,144.4,991.0,,
2018-06-01,318.607,1338.0,,
1988-03-01,126.6,1525.0,,
2000-12-01,187.4,1543.0,,
